gvkey	year	gvkey	conm	year	Y	K	L	M	VA	w	i	r&d	naics_4digit
003962	2010	003962	NORTECH SYSTEMS INC	2010	100.9771986970684	24.936253604872565	0.709	56.70692738786492	44.27027130920347	58192.89052542133	0.61886196515817	0.0	3344
003962	2011	003962	NORTECH SYSTEMS INC	2011	117.60055178661507	24.40401296083912	0.807	64.763411194268	52.83714059234706	60953.890816253	1.2280023206343067	0.0	3344
003962	2012	003962	NORTECH SYSTEMS INC	2012	109.99146292543945	27.54305838331591	0.717	61.97645413122409	48.01500879421536	62223.95935118233	4.206002068370067	0.0	3344
003962	2013	003962	NORTECH SYSTEMS INC	2013	113.93134861199451	31.890166730864472	0.777	61.60133158251093	52.33001702948358	62682.861773938734	1.1309456770657358	0.0	3344
003962	2014	003962	NORTECH SYSTEMS INC	2014	114.41847165630138	32.516621655332486	0.813	58.7078745544969	55.71059710180448	64311.75515456021	2.0187568076504143	0.0	3344
003969	2010	003969	DIODES INC	2010	619.9910979828838	356.1188311619588	3.986	202.45145770530274	417.5396402775811	58192.89052542133	87.65631939989143	26.238957706163944	3344
003969	2011	003969	DIODES INC	2011	653.9608190325204	431.81870088344914	4.499	214.3394620080503	439.6213570244701	60953.890816253	78.26435892477278	26.330497002514022	3344
003969	2012	003969	DIODES INC	2012	651.9095275809223	498.68234196218447	4.605	241.1496456599776	410.75988192094457	62223.95935118233	55.187529056804266	32.032221030959136	3344
003969	2013	003969	DIODES INC	2013	848.2385769096617	573.82435283616	6.151	277.64582572477894	570.5927511848828	62682.861773938734	44.162255509254045	45.333558583924614	3344
003969	2014	003969	DIODES INC	2014	909.5421913135831	703.9136785001043	6.794	254.35398833777555	655.1882029758075	64311.75515456021	53.322133402255986	48.125242306201194	3344
004450	2010	004450	ESPEY MFG & ELECTRONICS CORP	2010	29.23503348372347	14.589036775373748	0.166	14.25100046533271	14.98403301839076	58192.89052542133	0.43132803632236094	0.0493510339041603	3344
004450	2011	004450	ESPEY MFG & ELECTRONICS CORP	2011	30.368852880923214	15.39499111578019	0.166	14.261151545723138	16.107701335200076	60953.890816253	0.5869270934055308	0.04834654805646877	3344
004450	2012	004450	ESPEY MFG & ELECTRONICS CORP	2012	32.95207924050893	14.712672680249797	0.165	15.939808481532147	17.012270758976783	62223.95935118233	0.25427668719223506	0.13283110524967504	3344
004450	2013	004450	ESPEY MFG & ELECTRONICS CORP	2013	35.185375161574925	14.954898126537563	0.173	15.866507314470962	19.318867847103963	62682.861773938734	0.30314975410143785	0.05725119195104554	3344
004450	2014	004450	ESPEY MFG & ELECTRONICS CORP	2014	27.71259050478437	15.279126979120672	0.145	16.484870765805788	11.227719738978582	64311.75515456021	0.6553805822733398	0.08676869680801964	3344
004476	2010	004476	EXAR CORP	2010	116.45254617921378	111.07906779944105	0.368	68.4357051813786	48.01684099783519	58192.89052542133	2.2257316290776292	31.41588116271036	3344
004476	2011	004476	EXAR CORP	2011	138.85051318214104	113.09884055141596	0.572	60.35874365599811	78.49176952614295	60953.890816253	5.637207503384259	46.90678785534713	3344
004476	2012	004476	EXAR CORP	2012	150.17537002561122	119.25363142092023	0.477	76.62117811628934	73.55419190932187	62223.95935118233	3.468789434234371	49.24049071605454	3344
004476	2013	004476	EXAR CORP	2013	133.9440694310511	120.22812403747753	0.304	79.43329982149818	54.51076960955293	62682.861773938734	2.3829635469459776	33.57641626309269	3344
004476	2014	004476	EXAR CORP	2014	124.61423771739018	109.12694864228442	0.291	69.35651889750109	55.25771881988909	64311.75515456021	1.278453671054332	20.657411339007147	3344
005791	2010	005791	HUTCHINSON TECHNOLOGY INC	2010	351.21391142492973	1097.1115132323005	2.546	172.54314848159913	178.67076294333057	58192.89052542133	30.97468291960717	21.150866110645016	3344
005791	2011	005791	HUTCHINSON TECHNOLOGY INC	2011	286.2804846663029	1164.5668202764978	2.317	128.11788262180997	158.16260204449293	60953.890816253	13.059369561013344	14.109456584799846	3344
005791	2012	005791	HUTCHINSON TECHNOLOGY INC	2012	255.68949734116413	1199.3896871545965	2.06	110.45250609423694	145.23699124692718	62223.95935118233	26.452365816863853	15.630425913451045	3344
005791	2013	005791	HUTCHINSON TECHNOLOGY INC	2013	256.05367364943885	1113.4117041359189	2.436	70.8996163236833	185.15405732575553	62682.861773938734	17.719713180913764	13.722453729774374	3344
005791	2014	005791	HUTCHINSON TECHNOLOGY INC	2014	266.62479703440454	1104.6752801000268	2.489	67.62939860911122	198.99539842529333	64311.75515456021	15.953440286521316	15.983901637528383	3344
006003	2010	006003	INTEGRATED DEVICE TECH INC	2010	670.9339025229126	1014.5457109079274	2.112	277.497205980537	393.4366965423756	58192.89052542133	16.37566007007847	164.62419187681982	3344
006003	2011	006003	INTEGRATED DEVICE TECH INC	2011	551.6898465086114	1025.2584084426078	2.004	233.0342704783866	318.6555760302247	60953.890816253	12.499516534519435	152.2780893444208	3344
006003	2012	006003	INTEGRATED DEVICE TECH INC	2012	643.5771370971889	1048.8784103918479	2.053	233.62446334715045	409.9526737500385	62223.95935118233	11.86940804766739	168.45451009042	3344
006003	2013	006003	INTEGRATED DEVICE TECH INC	2013	540.3229446644372	1143.5350216970262	1.8	199.31204989843863	341.01089476599856	62682.861773938734	21.019634343206818	148.9929421481398	3344
006003	2014	006003	INTEGRATED DEVICE TECH INC	2014	497.57054011825613	425.1715207972802	1.748	174.5932538831531	322.97728623510307	64311.75515456021	25.711226392452968	156.76795835102553	3344
006008	2010	006008	INTEL CORP	2010	44128.715074756714	52629.72541682716	82.5	11799.32526756631	32329.389807190404	58192.89052542133	5139.416670779253	6490.647979075162	3344
006008	2011	006008	INTEL CORP	2011	55589.41310904992	55556.04468167061	100.1	16189.25354389071	39400.15956515921	60953.890816253	10408.044865596596	8073.873525430285	3344
006008	2012	006008	INTEL CORP	2012	54864.58965471133	61461.36505551028	105.0	15100.254055110414	39764.33559960092	62223.95935118233	10462.347125629762	9628.357543383587	3344
006008	2013	006008	INTEL CORP	2013	54071.687970619016	68564.36928379374	107.6	15346.46258642976	38725.22538418925	62682.861773938734	10052.74618012539	9958.891767090889	3344
006008	2014	006008	INTEL CORP	2014	57055.03303616106	72944.05198366569	106.7	13707.158481664164	43347.8745544969	64311.75515456021	9327.634906862111	10649.472926320454	3344
006021	2010	006021	INRAD OPTICS INC	2010	11.182147409310701	16.824884792626726	0.083	6.0021263681793355	5.180021041131365	58192.89052542133	0.2743917485071313	0.0	3344
006021	2011	006021	INRAD OPTICS INC	2011	13.565097437692378	17.56815793513041	0.081	7.451167914020115	6.113929523672264	60953.890816253	0.2939470121833301	0.0	3344
006021	2012	006021	INRAD OPTICS INC	2012	11.729734733550702	18.227689941852084	0.077	7.142145377122698	4.587589356428005	62223.95935118233	0.277047733806465	0.0	3344
006021	2013	006021	INRAD OPTICS INC	2013	11.526703461293831	18.935252151315304	0.071	7.544018137425882	3.9826853238679494	62682.861773938734	0.42797612343732405	0.0	3344
006021	2014	006021	INRAD OPTICS INC	2014	9.932293741000583	19.730019554658423	0.07	6.840762640033496	3.0915311009670865	64311.75515456021	0.3775361382391493	0.0	3344
006109	2010	006109	INTL RECTIFIER CORP	2010	905.6760475044005	1362.6509216589861	4.534	454.0849292896595	451.591118214741	58192.89052542133	57.31727779696985	98.02102354044318	3344
006109	2011	006109	INTL RECTIFIER CORP	2011	1211.2302988501015	1342.3294930875577	4.92	555.6159729871628	655.6143258629386	60953.890816253	141.50551150647843	115.39257397021852	3344
006109	2012	006109	INTL RECTIFIER CORP	2012	1080.596155230758	1510.4417215465355	4.911	540.6643942277033	539.9317610030548	62223.95935118233	121.5243318121009	128.18676053398102	3344
006109	2013	006109	INTL RECTIFIER CORP	2013	1002.3133424977943	1549.6290432028952	4.162	570.866735058167	431.44660743962737	62682.861773938734	68.14299658369937	119.28238915793821	3344
006109	2014	006109	INTL RECTIFIER CORP	2014	1130.0419717533161	1507.0280085841634	4.165	554.4825628299786	575.5594089233376	64311.75515456021	40.71759558402717	120.78202595676336	3344
006848	2010	006848	LGL GROUP INC	2010	47.19687620126651	23.09201010076246	0.233	24.359603050964047	22.83727315030247	58192.89052542133	0.7570448600898189	1.6147658293441247	3344
006848	2011	006848	LGL GROUP INC	2011	36.73292910159668	24.67216728601121	0.199	21.10811311625609	15.624815985340597	60953.890816253	1.6379810481531618	1.8158963450009669	3344
006848	2012	006848	LGL GROUP INC	2012	30.554498421155486	24.262770044718774	0.184	18.047926930870265	12.50657149028522	62223.95935118233	0.8596070096871827	1.9023311858971315	3344
006848	2013	006848	LGL GROUP INC	2013	26.878885492111042	25.29445109277571	0.153	17.535642914298613	9.34324257781243	62682.861773938734	0.42046777039456396	2.144573337838345	3344
006848	2014	006848	LGL GROUP INC	2014	23.501118225544563	25.155066316899163	0.142	13.629492560481198	9.871625665063364	64311.75515456021	0.24276773681392733	1.9993723115550057	3344
007291	2010	007291	METHODE ELECTRONICS INC	2010	433.8175491128331	348.63605519113327	2.876	198.70134137212463	235.11620774070846	58192.89052542133	16.842520850811823	21.709519814440114	3344
007291	2011	007291	METHODE ELECTRONICS INC	2011	387.0186022092054	318.1467011500578	2.315	192.34586520347133	194.67273700573406	60953.890816253	9.06884548443241	17.803132856314058	3344
007291	2012	007291	METHODE ELECTRONICS INC	2012	440.44619071618854	308.9748528036098	2.743	213.6546619627043	226.79152875348422	62223.95935118233	14.443485108684307	18.507168135715435	3344
007291	2013	007291	METHODE ELECTRONICS INC	2013	477.1281725107204	337.3150870843701	3.143	231.0012659266707	246.12690658404972	62682.861773938734	24.16188009160191	19.10875849382438	3344
007291	2014	007291	METHODE ELECTRONICS INC	2014	530.8620038193275	314.4882853677613	3.96	208.74977278065418	322.11223103867326	64311.75515456021	35.58901175992763	21.901711374083852	3344
007343	2010	007343	MICRON TECHNOLOGY INC	2010	8580.330588544723	18122.756212106422	25.9	2832.537479515245	5747.793109029478	58192.89052542133	608.0047376992547	615.9009031239204	3344
007343	2011	007343	MICRON TECHNOLOGY INC	2011	9046.829800595024	18852.32889180522	26.1	4088.593664748453	4958.2361358465705	60953.890816253	2465.6739508799074	764.8423902533359	3344
007343	2012	007343	MICRON TECHNOLOGY INC	2012	8528.846054945845	20509.306840242094	27.4	4204.159098155786	4324.686956790059	62223.95935118233	1612.000341565699	870.9925329942977	3344
007343	2013	007343	MICRON TECHNOLOGY INC	2013	9307.741233919449	21619.06838165831	30.9	4191.661913457397	5116.079320462052	62682.861773938734	1167.548898149191	873.7845853512032	3344
007343	2014	007343	MICRON TECHNOLOGY INC	2014	16704.962062028328	21717.690782438985	30.4	7771.953065163444	8933.008996864883	64311.75515456021	2453.5233629331515	1265.530673657393	3344
007346	2010	007346	MICROSEMI CORP	2010	524.2762053128857	210.4173060844349	2.25	231.47925223056222	292.79695308232345	58192.89052542133	16.01342348122193	54.67601046241919	3344
007346	2011	007346	MICROSEMI CORP	2011	860.4721069807184	227.15334226125594	2.7	378.2126643263777	482.25944265434066	60953.890816253	24.97195900212725	110.38000386772384	3344
007346	2012	007346	MICROSEMI CORP	2012	1041.4150972506504	236.48196170775086	3.2	441.8983162420416	599.516781008609	62223.95935118233	46.56584153249143	159.88690380181598	3344
007346	2013	007346	MICROSEMI CORP	2013	1001.1941155953137	368.85851058579675	3.1	411.4546872114734	589.7394283838404	62682.861773938734	35.033036753388146	160.0902879453392	3344
007346	2014	007346	MICROSEMI CORP	2014	1162.4061762813637	414.5107329336685	3.4	520.6637868529353	641.7423894284285	64311.75515456021	36.40962209463327	177.24167851274763	3344
008348	2010	008348	PARK ELECTROCHEMICAL CORP	2010	202.38128957857043	213.5547455110031	0.615	139.96248002104116	62.41880955752927	58192.89052542133	12.065340768889108	0.0	3344
008348	2011	008348	PARK ELECTROCHEMICAL CORP	2011	180.86041651653818	204.99031601657308	0.612	108.3709735533617	72.48944296317649	60953.890816253	3.3088377489847227	0.0	3344
008348	2012	008348	PARK ELECTROCHEMICAL CORP	2012	217.69745842033262	208.7425531393268	0.614	129.37006263949888	88.32739578083374	62223.95935118233	3.5095875594181996	0.0	3344
008348	2013	008348	PARK ELECTROCHEMICAL CORP	2013	198.25396499723013	217.0696227929374	0.613	126.60546379695931	71.64850120027081	62682.861773938734	3.7485452565979656	0.0	3344
008348	2014	008348	PARK ELECTROCHEMICAL CORP	2014	180.15787914994434	222.08099766958492	0.535	116.92844377725356	63.22943537269077	64311.75515456021	1.3356840880979195	0.0	3344
009216	2010	009216	ROGERS CORP	2010	383.5838711635341	334.96154716127575	1.94	205.88904849576144	177.69482266777266	58192.89052542133	12.443369688594975	19.532152198588562	3344
009216	2011	009216	ROGERS CORP	2011	569.441727833311	342.906044908924	2.6	300.84209225954555	268.59963557376545	60953.890816253	20.611100367433764	20.902146586733707	3344
009216	2012	009216	ROGERS CORP	2012	513.0072102280325	385.548218998096	2.4	271.04039167686665	241.96681855116583	62223.95935118233	22.556619258612674	18.322153381974818	3344
009216	2013	009216	ROGERS CORP	2013	551.3880054986766	390.2404666263138	2.5	281.60815773815625	269.77984776052034	62682.861773938734	15.822915493486505	20.31572624544806	3344
009216	2014	009216	ROGERS CORP	2014	623.8687540210165	390.6569157661901	2.8	303.62141682750723	320.24733719350917	64311.75515456021	26.542913582070263	21.11802388908376	3344
009599	2010	009599	SEMTECH CORP	2010	298.23780524814373	102.9857480878226	0.827	154.2244097355696	144.01339551257414	58192.89052542133	8.939446281399595	40.86759117603514	3344
009599	2011	009599	SEMTECH CORP	2011	294.999948527368	110.2437682275904	0.915	150.5222927969199	144.4776557304481	60953.890816253	8.394894604525238	43.363952813769096	3344
009599	2012	009599	SEMTECH CORP	2012	467.484031556319	119.81290926099157	0.982	226.55639920594916	240.9276323503698	62223.95935118233	24.22934239114965	66.05880622788123	3344
009599	2013	009599	SEMTECH CORP	2013	493.0353515665073	141.84067649517922	0.929	226.395947803607	266.6394037629004	62682.861773938734	20.238765626759772	77.94327439276195	3344
009599	2014	009599	SEMTECH CORP	2014	591.1042349601217	157.33384727744865	1.433	244.76107962378603	346.34315533633566	64311.75515456021	21.4761755312275	111.42300662765153	3344
009799	2010	009799	SOLITRON DEVICES INC	2010	8.557063952900236	2.181295861216582	0.081	2.698316709490764	5.858747243409472	58192.89052542133	0.21813156985638849	0.0	3344
009799	2011	009799	SOLITRON DEVICES INC	2011	7.950462738961694	2.399163594343257	0.079	2.1550664511679134	5.79539628779378	60953.890816253	0.16921291819764067	0.0	3344
009799	2012	009799	SOLITRON DEVICES INC	2012	9.188155066188042	2.5928575359049137	0.085	2.3624451004391958	6.825709965748845	62223.95935118233	0.3548488097384176	0.0	3344
009799	2013	009799	SOLITRON DEVICES INC	2013	8.513715915386035	2.9208165960490837	0.084	2.276854264552001	6.236861650834035	62682.861773938734	0.14172016368209633	0.0	3344
009799	2014	009799	SOLITRON DEVICES INC	2014	8.602677614043687	3.0869971936389153	0.084	2.3345036406155857	6.268173973428101	64311.75515456021	0.19753724592464048	0.0	3344
009922	2010	009922	SPARTON CORP	2010	175.9938899791612	47.463701412668605	0.703	124.80751613490604	51.18637384425515	58192.89052542133	1.5150767408577208	0.0	3344
009922	2011	009922	SPARTON CORP	2011	209.34125325564398	35.18170772119739	0.873	141.72440523373723	67.61684802190676	60953.890816253	3.0719396635080254	1.0732933668536067	3344
009922	2012	009922	SPARTON CORP	2012	229.96307458111764	38.688788504973814	0.867	157.86178990568075	72.10128467543687	62223.95935118233	4.0266800762830055	1.2267901363416414	3344
009922	2013	009922	SPARTON CORP	2013	272.89747430189374	41.98847926267281	1.24	171.84546256591227	101.05201173598148	62682.861773938734	3.6340428726958742	1.2201073694485116	3344
009922	2014	009922	SPARTON CORP	2014	343.26869070596285	59.731469762834976	1.385	223.40434831449198	119.86434239147086	64311.75515456021	3.2316724204774125	1.0790702826444145	3344
010200	2010	010200	SUPERTEX INC	2010	79.72363283225768	58.74381277331924	0.352	26.925413235680903	52.79821959657677	58192.89052542133	1.9454177565019988	14.364111928144895	3344
010200	2011	010200	SUPERTEX INC	2011	68.68919795344816	54.74478410258227	0.35	24.590020486107537	44.099177467340624	60953.890816253	1.1612840843163799	14.894604525236899	3344
010200	2012	010200	SUPERTEX INC	2012	85.54765847587504	50.61866359447004	0.373	28.090052765292164	57.45760571058288	62223.95935118233	1.1480402668007628	14.090533886163742	3344
010200	2013	010200	SUPERTEX INC	2013	67.23055458667596	53.064598018726464	0.361	24.332852541086186	42.89770204558978	62682.861773938734	1.0314599992491646	13.51409693283778	3344
010200	2014	010200	SUPERTEX INC	2014	62.293843121636385	55.86116327307093	0.33	22.688152936490916	39.60569018514547	64311.75515456021	0.6046116639282221	12.900843687115772	3344
010499	2010	010499	TEXAS INSTRUMENTS INC	2010	14127.905800473425	7096.214294029866	28.412	5505.666222914601	8622.239577558825	58192.89052542133	1183.4377930217638	1549.6224645906332	3344
010499	2011	010499	TEXAS INSTRUMENTS INC	2011	14100.412810508653	7170.367602022278	34.759	5586.7567197521075	8513.656090756544	60953.890816253	789.0156642815703	1658.2865983368788	3344
010499	2012	010499	TEXAS INSTRUMENTS INC	2012	13052.467008835358	7087.14616431687	34.151	5361.901097476934	7690.565911358423	62223.95935118233	469.65283641849385	1780.8856039545717	3344
010499	2013	010499	TEXAS INSTRUMENTS INC	2013	12520.773918217445	6891.0	32.209	4880.0402983237245	7640.73361989372	62682.861773938734	386.6801817021436	1428.4641663851035	3344
010499	2014	010499	TEXAS INSTRUMENTS INC	2014	13321.691533143388	6339.199381164185	31.003	4697.114132532704	8624.577400610684	64311.75515456021	355.38242841582513	1253.5307475030922	3344
010619	2010	010619	TOROTEL INC	2010	7.288526513848707	2.437006222867053	0.096	1.2346531248103263	6.0538733890383805	58192.89052542133	0.02368849627399694	0.0	3344
010619	2011	010619	TOROTEL INC	2011	7.299848670461916	2.5149769585253456	0.113	0.2864657861415077	7.013382884320408	60953.890816253	0.08122220073486754	0.0	3344
010619	2012	010619	TOROTEL INC	2012	11.450994106332862	2.630184331797235	0.143	1.6540036822562543	9.796990424076608	62223.95935118233	0.4990654382952076	0.0	3344
010619	2013	010619	TOROTEL INC	2013	11.108147479431256	3.233431350373219	0.113	3.6792650649377294	7.428882414493526	62682.861773938734	0.46551788865112437	0.0	3344
010619	2014	010619	TOROTEL INC	2014	12.235123515415172	3.700690896864391	0.121	3.0288124342595713	9.2063110811556	64311.75515456021	0.22984473941698821	0.0	3344
011169	2010	011169	VIDEO DISPLAY CORP	2010	73.74815384304127	35.78499687635158	0.461	42.54609221680458	31.202061626236677	58192.89052542133	0.978137491980457	1.2831268815081676	3344
011169	2011	011169	VIDEO DISPLAY CORP	2011	72.50537889004416	34.72223796515648	0.44	40.15441789600469	32.350960994039475	60953.890816253	0.40417714175207886	0.9669309611293754	3344
011169	2012	011169	VIDEO DISPLAY CORP	2012	60.725342768686424	35.11762044786247	0.31	34.92305318700308	25.802289581683347	62223.95935118233	0.9079954837424214	0.6641555262483751	3344
011169	2013	011169	VIDEO DISPLAY CORP	2013	65.89281684072303	27.94815668202765	0.324	37.362227374381916	28.530589466341116	62682.861773938734	0.5790817284228704	0.844689717310508	3344
011169	2014	011169	VIDEO DISPLAY CORP	2014	50.14450129183134	29.88971118266135	0.285	29.643536247868226	20.50096504396311	64311.75515456021	0.6692266509129174	0.8307641183746562	3344
011191	2010	011191	VISHAY INTERTECHNOLOGY INC	2010	2756.683593987092	3106.0138738879177	22.6	766.9466081291604	1989.736985857932	58192.89052542133	143.52563786211323	50.30646992054484	3344
011191	2011	011191	VISHAY INTERTECHNOLOGY INC	2011	2670.430002367741	2974.5148036388337	20.9	791.3011251917357	1879.1288771760055	60953.890816253	163.064204215819	53.96345000966931	3344
011191	2012	011191	VISHAY INTERTECHNOLOGY INC	2012	2293.795706777203	3072.263358906123	21.6	535.4868703907513	1758.3088363864517	62223.95935118233	142.59514027913508	54.23683786066017	3344
011191	2013	011191	VISHAY INTERTECHNOLOGY INC	2013	2432.3221650013334	3207.018227571847	22.5	579.8682779704136	1852.45388703092	62682.861773938734	143.66951984082291	58.274205053121605	3344
011191	2014	011191	VISHAY INTERTECHNOLOGY INC	2014	2546.1658650163904	3494.8642840986204	22.6	611.5329391460638	1934.6329258703267	64311.75515456021	144.89818524193697	60.27562907305187	3344
012215	2010	012215	CYPRESS SEMICONDUCTOR CORP	2010	887.7051004511704	1430.621365755202	3.5	352.8011006130253	534.9039998381452	58192.89052542133	50.12683215713369	174.52104821596012	3344
012215	2011	012215	CYPRESS SEMICONDUCTOR CORP	2011	1024.5153851697053	1513.448033707865	3.4	432.9136598070805	591.6017253626247	60953.890816253	77.89209050473796	183.68787468574743	3344
012215	2012	012215	CYPRESS SEMICONDUCTOR CORP	2012	791.671723769067	1557.8588984751202	3.6	320.3371630169816	471.33456075208534	62223.95935118233	31.322523411482297	180.17305995426813	3344
012215	2013	012215	CYPRESS SEMICONDUCTOR CORP	2013	741.3908779416894	1620.832651004598	3.4	299.8217033587066	441.56917458298284	62682.861773938734	34.37605586214664	179.17370574764425	3344
012215	2014	012215	CYPRESS SEMICONDUCTOR CORP	2014	740.8851852986529	1614.6677583926435	3.35	278.74697466376637	462.1382106348866	64311.75515456021	19.335573319548804	151.9006036885927	3344
012216	2010	012216	LINEAR TECHNOLOGY CORP	2010	1183.5515001922026	824.2487786631605	4.191	122.44272765897193	1061.1087725332306	58192.89052542133	37.844346839066276	196.37467304940037	3344
012216	2011	012216	LINEAR TECHNOLOGY CORP	2011	1527.6685986061211	861.0827108577129	4.505	172.90475504174438	1354.7638435643769	60953.890816253	116.43299168439374	219.02533359118158	3344
012216	2012	012216	LINEAR TECHNOLOGY CORP	2012	1302.7997490305793	989.0844791040886	4.365	144.77331495633754	1158.0264340742417	62223.95935118233	33.901344440543845	212.97285501484862	3344
012216	2013	012216	LINEAR TECHNOLOGY CORP	2013	1315.4106567635777	1026.1287039131419	4.306	159.44806828207405	1155.9625884815034	62682.861773938734	16.555918459285955	220.73056275106055	3344
012216	2014	012216	LINEAR TECHNOLOGY CORP	2014	1417.8344209225615	1025.8136712356225	4.661	156.69032198768414	1261.1440989348773	64311.75515456021	34.77117063894991	231.16842357893182	3344
012234	2010	012234	SIGMA DESIGNS INC	2010	211.58476136524573	14.440477156536558	0.326	112.15886458818055	99.42589677706516	58192.89052542133	15.487341459803584	44.543256181217	3344
